2005-01;133
2005-02;214
2005-03;204
2005-04;205
2005-05;206
2005-06;283
2005-07;291
2005-08;284
2005-09;335
2005-10;306
2005-11;349
2005-12;326
2006-01;315
2006-02;336
2006-03;388
2006-04;358
2006-05;359
2006-06;310
2006-07;292
2006-08;295
2006-09;253
2006-10;227
2006-11;232
2006-12;215
2007-01;289
2007-02;260
2007-03;267
2007-04;259
2007-05;236
2007-06;207
2007-07;243
2007-08;210
2007-09;259
2007-10;220
2007-11;251
2007-12;279
2008-01;280
2008-02;190
2008-03;235
2008-04;185
2008-05;239
2008-06;253
2008-07;212
2008-08;179
2008-09;189
2008-10;131
2008-11;182
2008-12;153
2009-01;173
2009-02;205
2009-03;154
2009-04;161
2009-05;182
2009-06;176
2009-07;143
2009-08;176
2009-09;169
2009-10;150
2009-11;153
2009-12;170
2010-01;172
2010-02;145
2010-03;163
2010-04;153
2010-05;197
2010-06;144
2010-07;122
2010-08;143
2010-09;144
2010-10;144
2010-11;137
2010-12;170
2011-01;139
2011-02;129
2011-03;131
2011-04;84
2011-05;109
2011-06;140
2011-07;89
2011-08;85
2011-09;76
2011-10;96
2011-11;66
2011-12;94
2012-01;116
2012-02;89
2012-03;88
2012-04;95
2012-05;66
2012-06;69
2012-07;79
2012-08;57
2012-09;61
2012-10;73
2012-11;76
2012-12;60
2013-01;62
2013-02;44
2013-03;70
2013-04;44
2013-05;41
2013-06;61
2013-07;62
2013-08;46
2013-09;52
2013-10;64
2013-11;51
2013-12;46
2014-01;46
2014-02;59
2014-03;75
2014-04;50
2014-05;41
2014-06;34
2014-07;43
2014-08;37
2014-09;31
2014-10;29
2014-11;31
2014-12;35
2015-01;36
2015-02;52
2015-03;56
2015-04;32
2015-05;31
2015-06;36
2015-07;30
2015-08;28
2015-09;35
2015-10;17
2015-11;25
2015-12;34
2016-01;29
2016-02;27
2016-03;23
2016-04;37
2016-05;15
2016-06;22
2016-07;12
2016-08;17
2016-09;13
2016-10;18
2016-11;16
2016-12;17
2017-01;21
2017-02;20
2017-03;23
2017-04;19
2017-05;21
2017-06;25
2017-07;22
2017-08;13
2017-09;19
2017-10;18
2017-11;10
2017-12;10
2018-01;21
2018-02;21
2018-03;14
2018-04;16
2018-05;19
2018-06;25
2018-07;14
2018-08;20
2018-09;14
2018-10;2
